,epoch_40/online_vs0,epoch_40/val_loss,epoch_40/val_tderror,epoch_40/val_vs0_q,epoch_40/val_vs0_fqe,seed,State,Created,Runtime,alg,env,policy_level,n_trajectories,alpha,batch_size,gamma,lr,n_epochs,target_update_interval,cql_alpha_lr,cql_alpha_tuning,cql_lagrange_thresh,cql_lr,cql_max_backup,cql_min_q_weight,cql_n_uniform_actions,cql_tau,cql_temp,cql_variant,n_gradient_steps,sac_alpha_lr,sac_alpha_tuning,sac_lr,actor_lr,critic_lr,device,noise_clip,normalize_obs,policy_noise,policy_update_frequency,tau,gmm_num_modes,counts/num_samples,epoch_0/online_vs0,epoch_1/online_vs0,epoch_10/online_vs0,epoch_11/online_vs0,epoch_12/online_vs0,epoch_13/online_vs0,epoch_14/online_vs0,epoch_15/online_vs0,epoch_16/online_vs0,epoch_17/online_vs0,epoch_18/online_vs0,epoch_19/online_vs0,epoch_2/online_vs0,epoch_20/online_vs0,epoch_21/online_vs0,epoch_22/online_vs0,epoch_23/online_vs0,epoch_24/online_vs0,epoch_25/online_vs0,epoch_26/online_vs0,epoch_27/online_vs0,epoch_28/online_vs0,epoch_29/online_vs0,epoch_3/online_vs0,epoch_30/online_vs0,epoch_31/online_vs0,epoch_32/online_vs0,epoch_33/online_vs0,epoch_34/online_vs0,epoch_35/online_vs0,epoch_36/online_vs0,epoch_37/online_vs0,epoch_38/online_vs0,epoch_4/online_vs0,epoch_5/online_vs0,epoch_6/online_vs0,epoch_7/online_vs0,epoch_8/online_vs0,epoch_9/online_vs0,loss/bellman,loss/conservative,loss/total,counts/num_epochs,cql/alpha,cql/loss/alpha,cql/loss/critic1/bellman,cql/loss/critic1/conservative,cql/loss/critic1/total,cql/loss/critic2/bellman,cql/loss/critic2/conservative,cql/loss/critic2/total,sac/alpha,sac/loss/actor,sac/loss/alpha,counts/num_batches,loss/actor,loss/actor_bc,loss/actor_td3,loss/critic,epoch_39/online_vs0,epoch_0/val_loss,epoch_0/val_tderror,epoch_0/val_vs0_fqe,epoch_0/val_vs0_q,epoch_1/val_loss,epoch_1/val_tderror,epoch_1/val_vs0_fqe,epoch_1/val_vs0_q,epoch_3/val_loss,epoch_3/val_vs0_fqe,epoch_15/val_loss,epoch_15/val_tderror,epoch_15/val_vs0_q,epoch_22/val_loss,epoch_22/val_tderror,epoch_22/val_vs0_q,epoch_15/val_vs0_fqe,epoch_21/val_loss,epoch_21/val_tderror,epoch_21/val_vs0_fqe,epoch_21/val_vs0_q,epoch_22/val_vs0_fqe,epoch_4/val_loss,epoch_4/val_tderror,epoch_4/val_vs0_fqe,epoch_4/val_vs0_q
0,-234245.75827847602,0.0099507262930274,402466784.0,-293962.1875,-44018.76953125,8800.0,finished,2021-09-06T12:33:25.000Z,4806,td3+bc,industrial,low,9999.0,3.0,256.0,0.9904635935128168,,,,,,,,,,,,,,300000.0,,,,0.0003,0.0003,cuda:2,0.5,True,0.2,2.0,0.01,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,3.003257274627685,0.003257456235587597,2.9999997615814213,2368713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-234053.92107541862,0.0012882674345746634,11053262848.0,-42819.15625,-44127.91796875,8800.0,finished,2021-09-06T12:32:50.000Z,7529,td3+bc,industrial,low,9999.0,1.0,512.0,0.9051620562895926,,,,,,,,,,,,,,300000.0,,,,2.9999999999999997e-05,0.001,cuda:3,0.5,True,0.2,2.0,0.01,,153600512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,1.0004103183746338,0.0004103660467080772,1.0,431.8524169921875,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-234120.57798310433,0.018655603751540184,38667744.0,-48576.57421875,-44144.9921875,8800.0,finished,2021-09-06T11:13:13.000Z,7589,td3+bc,industrial,low,9999.0,4.0,512.0,0.9033968165499244,,,,,,,,,,,,,,300000.0,,,,0.0001,0.0001,cuda:1,0.5,True,0.2,2.0,0.005,,153600512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,4.006267070770264,0.00626726634800434,4.0,484.60784912109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-234106.6782767469,0.004719684366136789,305169824.0,-105157.0546875,-44115.04296875,8800.0,finished,2021-09-06T11:13:07.000Z,4764,td3+bc,industrial,low,9999.0,2.0,256.0,0.9722488382838594,,,,,,,,,,,,,,300000.0,,,,0.001,0.001,cuda:3,0.5,True,0.2,2.0,0.005,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,2.001593828201294,0.00159374566283077,2.0,3521.5322265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-234166.79348435983,0.004144166596233846,60445192.0,-78225.640625,-44128.9296875,8800.0,finished,2021-09-06T11:12:36.000Z,4830,td3+bc,industrial,low,9999.0,2.0,256.0,0.9594047867711882,,,,,,,,,,,,,,300000.0,,,,0.001,0.0001,cuda:2,0.5,True,0.2,2.0,0.01,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,2.001340389251709,0.0013403272023424506,2.0,1045.8193359375,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34694.82767561638,1.628062129020691,14496538.0,1520.1651611328125,242203.703125,8800.0,finished,2021-09-06T10:49:52.000Z,13530,cql,citylearn,medium,9999.0,,512.0,0.910849574018318,,,,,,2.0,0.001,False,5.0,10.0,0.01,1.0,entropy,300000.0,,False,2.9999999999999997e-05,,,cuda:0,,,,,,,153600512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-223.99755859375,6367.65625,222.794921875,6590.451171875,6462.744140625,225.2001953125,6687.9443359375,1.0,-381.611328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27730.238054420985,3.3095943927764893,17922150.0,2224.100341796875,241836.78125,8800.0,finished,2021-09-06T10:34:35.000Z,9636,cql,citylearn,medium,9999.0,,256.0,0.9554813142905441,,,,,,-1.0,0.0003,True,5.0,10.0,0.005,1.0,entropy,300000.0,,True,0.0001,,,cuda:3,,,,,,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,5991.45947265625,284.463623046875,6275.9228515625,7550.17919921875,316.63134765625,7866.810546875,1.0,-763.447998046875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-234147.83641462727,0.0010957117192447186,45467964.0,-71332.3359375,-44151.1015625,8800.0,finished,2021-09-06T10:27:45.000Z,7525,td3+bc,industrial,low,9999.0,1.0,512.0,0.9357253694952968,,,,,,,,,,,,,,300000.0,,,,2.9999999999999997e-05,0.0001,cuda:0,0.5,True,0.2,2.0,0.01,,153600512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,1.0003714561462402,0.00037148056435398763,1.0,42898.93359375,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28670.125269057968,3.9168002605438232,18535996.0,2132.35546875,241879.359375,8800.0,finished,2021-09-06T10:26:53.000Z,9348,cql,citylearn,medium,9999.0,,256.0,0.9760238092697512,,,,,,-1.0,0.0003,True,5.0,10.0,0.01,1.0,entropy,300000.0,,False,0.0001,,,cuda:1,,,,,,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,5490.806640625,287.4658203125,5778.2724609375,8301.80859375,318.5537109375,8620.3623046875,1.0,-1122.018310546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-234015.6064785518,0.017474835738539696,157393392.0,-124750.09375,-44143.85546875,8800.0,finished,2021-09-06T09:07:46.000Z,4781,td3+bc,industrial,low,9999.0,4.0,256.0,0.9793262782672552,,,,,,,,,,,,,,300000.0,,,,0.0003,0.0003,cuda:0,0.5,True,0.2,2.0,0.01,,76800256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300001.0,4.005876541137694,0.005876660346984863,4.0,657179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
