,epoch_40/online_vs0,epoch_40/val_vs0_fqe,epoch_40/val_vs0_q,epoch_40/val_loss,alg,env,policy_level,n_trajectories,State,Created,Runtime,actor_lr,alpha,batch_size,cql_lagrange_thresh,cql_lr,cql_max_backup,cql_min_q_weight,cql_n_uniform_actions,cql_tau,cql_temp,cql_variant,critic_lr,device,gamma,n_gradient_steps,noise_clip,normalize_obs,policy_noise,policy_update_frequency,sac_alpha_tuning,sac_lr,seed,tau,gmm_num_modes,counts/num_batches,counts/num_epochs,counts/num_samples,loss/actor,loss/actor_bc,loss/actor_td3,loss/critic,cql/alpha,cql/loss/alpha,cql/loss/critic1/bellman,cql/loss/critic1/conservative,cql/loss/critic1/total,cql/loss/critic2/bellman,cql/loss/critic2/conservative,cql/loss/critic2/total,sac/alpha,sac/loss/actor,sac/loss/alpha,epoch_40/val_tderror
0,-325303.17144175,-50200.42578125,-3000.914794921875,0.2443576008081436,cql,industrial,high,9999,finished,2021-09-06T14:07:01.000Z,11711,,,256,5.0,0.001,True,5.0,10.0,0.005,1.0,entropy,,cuda:1,0.9130228475321509,300000,,,,,False,0.001,8800,,,,0,76800256,,,,,1.0,-11.4716796875,160.2602081298828,11.48828125,171.7484893798828,171.8846893310547,11.455078125,183.3397674560547,1.0,3682.4189453125,,53980976.0
1,-346337.1203596107,-50202.328125,-4842.59765625,0.18949870765209198,cql,industrial,high,9999,finished,2021-09-06T14:06:56.000Z,9074,,,256,10.0,0.0001,True,5.0,10.0,0.005,1.0,kl,,cuda:0,0.9441458243315206,300000,,,,,False,0.0001,8800,,,,0,76800256,,,,,1.0,-16.9638671875,116052.96875,16.734375,116069.703125,116030.4140625,17.193359375,116047.609375,1.0,5774.326171875,,54357648.0
2,-312250.6695063173,-50150.3984375,-3415.48291015625,0.18097594380378726,cql,industrial,high,9999,finished,2021-09-06T13:39:26.000Z,10967,,,512,5.0,0.001,True,5.0,10.0,0.005,1.0,kl,,cuda:2,0.9243570966377661,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-15.017578125,58839.85546875,14.966796875,58854.8203125,58856.4375,15.068359375,58871.5078125,1.0,4183.96826171875,0.0,54287964.0
3,-379652.84689567774,-50192.9375,-3063.273681640625,0.1942209154367447,cql,industrial,high,9999,finished,2021-09-06T13:32:25.000Z,9488,,,256,5.0,0.001,True,10.0,10.0,0.01,1.0,entropy,,cuda:4,0.9164241213605212,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-25.181640625,86.46836853027344,24.9609375,111.42930603027344,86.93412780761719,25.40234375,112.3364715576172,1.0,3818.762451171875,,53959952.0
4,-348418.1420806029,-50232.85546875,-23519.21875,0.1910914182662964,cql,industrial,high,9999,finished,2021-09-06T12:10:59.000Z,8899,,,256,5.0,0.0001,False,10.0,10.0,0.01,1.0,entropy,,cuda:3,0.9867658820180574,300000,,,,,False,0.0003,8800,,,,0,76800256,,,,,1.0,-121.984375,4819.90625,121.859375,4941.765625,5482.07080078125,122.109375,5604.18017578125,1.0,23409.55859375,,54058004.0
5,-363123.69162867335,-50247.6015625,-81550.203125,1.0855168104171753,cql,industrial,high,9999,finished,2021-09-06T10:27:16.000Z,11371,,,512,10.0,0.0001,True,5.0,10.0,0.005,1.0,entropy,,cuda:2,0.9969167874008064,300000,,,,,False,0.0001,8800,,,,0,153600512,,,,,1.0,-242.0625,15120.564453125,193.65625,15314.220703125,16420.3828125,290.46875,16710.8515625,1.0,78644.625,,54780976.0
6,-314085.34798283014,-50133.40625,-2600.1044921875,0.16683970391750336,cql,industrial,high,9999,finished,2021-09-06T10:26:19.000Z,11048,,,512,5.0,0.001,False,10.0,10.0,0.005,1.0,kl,,cuda:4,0.9003828662770034,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-31.974609375,87.72538757324219,32.01171875,119.7371063232422,80.55633544921875,31.9375,112.49383544921876,1.0,3246.530517578125,0.0,54217252.0
7,-384415.86087289243,-50289.453125,-3628.553466796875,0.1826663613319397,cql,industrial,high,9999,finished,2021-09-06T10:24:50.000Z,13145,,,512,10.0,0.0001,False,5.0,10.0,0.01,1.0,kl,,cuda:1,0.9257163016673798,300000,,,,,True,0.001,8800,,,,0,153600512,,,,,1.0,-13.4365234375,117.03921508789062,13.59375,130.63296508789062,114.6492156982422,13.279296875,127.9285125732422,1.0,4346.80859375,0.0,54291620.0
8,-314690.2042604766,-49965.58203125,-3907.22412109375,0.1739756464958191,cql,industrial,high,9999,finished,2021-09-06T10:10:22.000Z,13363,,,512,5.0,0.0003,False,10.0,10.0,0.01,1.0,kl,,cuda:0,0.930354313338677,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-39.880859375,109365.234375,39.578125,109404.8125,109320.375,40.18359375,109360.5625,1.0,4647.046875,0.0,54254864.0
9,-688800.4526811935,-50233.9453125,-20894.310546875,0.19949708878993988,cql,industrial,high,9999,finished,2021-09-06T09:23:35.000Z,9922,,,256,2.0,0.001,True,5.0,10.0,0.005,1.0,kl,,cuda:3,0.9862004897768653,300000,,,,,False,0.0001,8800,,,,0,76800256,,,,,1.0,-54.5859375,1711392.125,52.71875,1711444.875,1710420.75,56.453125,1710477.25,1.0,21247.9296875,,54386816.0
10,-241971.46480736273,-51540.546875,-3253.28515625,0.3925137221813202,cql,industrial,medium,9999,finished,2021-09-06T07:16:45.000Z,11310,,,512,-1.0,0.0003,True,5.0,10.0,0.005,1.0,kl,,cuda:2,0.9350308592370554,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,0.0,486.1068420410156,45.62890625,531.7357177734375,774.7999877929688,47.19140625,821.9913940429688,1.0,4206.08349609375,0.0,40329660.0
11,-255600.27877609155,-51587.5625,-2588.666259765625,0.2369532436132431,cql,industrial,medium,9999,finished,2021-09-06T07:05:17.000Z,11954,,,512,5.0,0.0003,True,10.0,10.0,0.01,1.0,kl,,cuda:4,0.9200248890778604,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-83.380859375,17455.857421875,79.7734375,17535.630859375,17425.048828125,86.98828125,17512.037109375,1.0,3437.972900390625,,40323084.0
12,-428781.53049272095,-51613.33984375,-4164.5712890625,0.4766850769519806,cql,industrial,medium,9999,finished,2021-09-06T06:53:08.000Z,12634,,,512,2.0,0.0001,True,5.0,10.0,0.01,1.0,kl,,cuda:1,0.9475158176653532,300000,,,,,False,0.0003,8800,,,,0,153600512,,,,,1.0,-49.0556640625,977.39501953125,49.486328125,1026.88134765625,987.0042114257812,48.625,1035.629150390625,1.0,5267.4541015625,,40251784.0
13,-622074.644182342,-51557.94140625,-4320.513671875,0.5494474172592163,cql,industrial,medium,9999,finished,2021-09-06T06:47:29.000Z,12010,,,512,5.0,0.0003,False,5.0,10.0,0.01,1.0,entropy,,cuda:0,0.9493874323654964,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-35.392578125,64153.10546875,37.84765625,64190.953125,63664.3203125,32.9375,63697.2578125,1.0,5434.10693359375,,39585184.0
14,-2588601.4711006004,-51546.32421875,-7791.59765625,0.865136981010437,cql,industrial,medium,9999,finished,2021-09-06T06:43:44.000Z,9469,,,256,2.0,0.0003,False,5.0,10.0,0.005,1.0,entropy,,cuda:3,0.9703587754609446,300000,,,,,True,0.0001,8800,,,,0,76800256,,,,,1.0,-54.814453125,285371.75,56.328125,285428.0625,284727.625,53.30078125,284780.9375,1.0,9153.908203125,0.0,39773328.0
